Time,Plasma,Cbb,Cbm,Cccsf,Cscsf,,Parameters,Sim 1
0,0,0,0,0,0,,Vbb,0.065
0.25,0,0,0,0,0,,Vbm,1.1041
0.5,0.166483946,0.139505536,0.012419234,0.023714263,0.000842739,,Vccsf,0.104
0.724294424,0.745787045,0.69929972,0.128438947,0.130706399,0.011120491,,Vscsf,0.026
0.960496485,1.261469882,1.233780193,0.329332255,0.239497472,0.03596332,,Qbrain,39
1.201930881,1.576439324,1.570840814,0.511926196,0.309694489,0.068955328,,"Qbulk,BC",0.0052
1.443252206,1.744233068,1.754301671,0.639741663,0.34907862,0.103827977,,"Qbulk,CB",0.0052
1.684046149,1.816375625,1.836238775,0.715995557,0.367407455,0.136987714,,QCsink,0.0128
1.924935102,1.830104617,1.851090943,0.753679101,0.372788823,0.166590998,,QSsink,0.0078
2.165856838,1.807498163,1.832758058,0.765091977,0.369682223,0.19181843,,QSin,0.0153
2.406071663,1.763013133,1.78589485,0.759517245,0.36165537,0.212615236,,QSout,0.0075
2.640263557,1.706140059,1.729264873,0.743463446,0.350586313,0.22912185,,"Qgly,bm",0
2.881050348,1.642384573,1.666048871,0.721083229,0.337871959,0.241839309,,"Qgly,CCSF",0
3.122166157,1.575690777,1.602274788,0.695169768,0.324255935,0.251155096,,"Qgly,SCSF",0
3.362745523,1.509151447,1.533205636,0.667774404,0.3107595,0.257518765,,PSB,135
3.603815794,1.444138413,1.465707569,0.640046575,0.297474852,0.261406892,,PSC,67.5
3.844920158,1.38140848,1.404556398,0.612685398,0.284506675,0.263216362,,PSE,0.01
4.085447788,1.322137925,1.342818741,0.586387062,0.272329148,0.263330134,,"CLeff,bm",119.3
4.326381683,1.266158202,1.284728565,0.561259569,0.260823732,0.262052416,,"CLup,bm",0
4.56016016,1.213746978,1.23103477,0.53756088,0.249987945,0.259664094,,"CLeff,ccsf",0
4.801702976,1.164870688,1.182967718,0.515351447,0.239801829,0.256416866,,"CLup,ccsf",11.9
5.042482376,1.1195903,1.135072238,0.494661083,0.230500496,0.252500468,,lamdabb,0.033
5.282815933,1.077465512,1.091098415,0.475366386,0.221805456,0.248070762,,lamdabm,0.017
5.524753094,1.038387233,1.053461528,0.457457928,0.213637065,0.243283903,,lamdaccsf,0.026
5.765068054,1.002301461,1.015373496,0.440873695,0.206202139,0.238267466,,fubb,0.125
6.005893707,0.96885779,0.981518692,0.425506148,0.199271625,0.233080973,,fubm,0.044
6.246227264,0.937936679,0.948166409,0.411283106,0.192931749,0.227829575,,fuccsf,1
6.480709076,0.909226096,0.919822618,0.398105185,0.18693083,0.222565808,,,
6.721565247,0.882586347,0.895032514,0.385885248,0.181330052,0.217335495,,,
6.962677002,0.857990556,0.867589239,0.374580637,0.176327577,0.212187543,,,
7.203852177,0.835028542,0.845217912,0.364061158,0.171519265,0.207132614,,,
7.443857193,0.813713996,0.82219389,0.354290953,0.167144363,0.202204788,,,
7.684492111,0.793872569,0.803533597,0.345233702,0.162983809,0.197439169,,,
7.925530434,0.775323054,0.784715957,0.336764178,0.159115866,0.192809973,,,
8.16722393,0.758050007,0.76626758,0.328874055,0.155577555,0.188349699,,,
8.400107384,0.741850584,0.750469226,0.321499511,0.152194316,0.184052302,,,
8.641309738,0.72663133,0.735057527,0.314581797,0.149027907,0.179915644,,,
8.882080078,0.712389315,0.719993283,0.308108941,0.146091389,0.175950276,,,
9.123415947,0.698980845,0.705603035,0.30202117,0.143353361,0.172145932,,,
9.364002228,0.686308079,0.694326629,0.296295484,0.140671672,0.168504188,,,
9.604968071,0.674397013,0.680543321,0.290895887,0.138257868,0.165016518,,,
9.845673561,0.663088273,0.668999621,0.285793362,0.135903877,0.16167635,,,
10.08659267,0.652374007,0.659681401,0.280978863,0.13362857,0.158491766,,,
10.32077885,0.642186577,0.649945025,0.276403615,0.131495273,0.155438773,,,
10.56131363,0.632547695,0.639189914,0.27206386,0.12953171,0.15252017,,,
10.80196381,0.623366125,0.628947801,0.267937189,0.127651607,0.149730385,,,
11.04316711,0.614567172,0.620797762,0.264003935,0.1258,0.147059503,,,
11.28343105,0.606157933,0.612835536,0.260246452,0.124039312,0.144503366,,,
11.52521801,0.598135686,0.603463918,0.256655315,0.122421184,0.142055206,,,
11.76639843,0.590415269,0.596619403,0.253220925,0.120781024,0.139714272,,,
12.00016689,0.583018986,0.588821815,0.249924309,0.119257208,0.137468749,,,
12.24098778,0.575918818,0.581419594,0.246765315,0.117792184,0.135320712,,,
12.48125458,0.569031077,0.575225687,0.243715058,0.116337063,0.133252183,,,
12.72255993,0.562418792,0.568221562,0.240780435,0.11497266,0.131268607,,,
12.96383381,0.556026211,0.561997432,0.237952579,0.113645144,0.129365588,,,
13.20487976,0.549843017,0.555699266,0.23521616,0.112366652,0.127531486,,,
13.44599724,0.54386569,0.549389595,0.232572183,0.111128488,0.125768334,,,
13.68665886,0.538055326,0.543295713,0.230008201,0.109933736,0.124069094,,,
13.92096138,0.532394732,0.538471919,0.227521424,0.108730677,0.122430013,,,
14.16212749,0.526928061,0.532355218,0.225109105,0.107622036,0.120849534,,,
14.40323067,0.521584828,0.526785855,0.222760135,0.106513137,0.1193215,,,
14.64317513,0.51640924,0.521125915,0.220480851,0.105458551,0.117847774,,,
14.88397789,0.511330589,0.516188738,0.21825527,0.104393736,0.116419311,,,
15.12528038,0.506377542,0.51149156,0.216085399,0.103364338,0.11503556,,,
15.36618996,0.501541376,0.506389879,0.21396699,0.102365248,0.113694339,,,
15.60642529,0.496832898,0.501235675,0.211901419,0.101406729,0.112395664,,,
15.84083843,0.49221412,0.496868962,0.209883846,0.100442564,0.111136359,,,
16.08132935,0.487667451,0.492796304,0.207904643,0.09948274,0.109909073,,,
16.32238007,0.483238656,0.488130777,0.20596825,0.098568672,0.10871697,,,
16.5634079,0.478893549,0.483878395,0.20407428,0.097667759,0.107558895,,,
16.80447769,0.474626906,0.478989214,0.202210827,0.096804795,0.10642645,,,
